client,bank,target,J_ray,PC_ray_safe
27,A,gaussian_noise,1.0,0.0
27,B,gaussian_noise,1.0,0.0
27,A,gaussian_blur,0.75,0.0
27,B,gaussian_blur,0.75,0.0
28,A,brightness_dark,1.25,0.0
28,B,brightness_dark,1.5,0.0
28,A,contrast_low,1.25,0.0
28,B,contrast_low,1.25,0.0
28,A,gaussian_noise,0.75,0.25
28,B,gaussian_noise,0.75,0.25
28,A,gaussian_blur,1.5,0.0
28,B,gaussian_blur,1.5,0.0
29,A,brightness_dark,0.75,0.0
29,B,brightness_dark,0.75,0.0
29,A,contrast_low,0.75,0.0
29,B,contrast_low,0.75,0.0
29,A,gaussian_noise,1.25,0.0
29,B,gaussian_noise,1.25,0.0
29,A,gaussian_blur,0.25,1.5
29,B,gaussian_blur,0.25,1.25
30,A,brightness_dark,1.25,0.0
30,B,brightness_dark,1.0,0.0
30,A,contrast_low,1.25,0.0
30,B,contrast_low,1.25,0.0
30,A,gaussian_noise,0.75,1.5
30,B,gaussian_noise,0.75,1.5
30,A,gaussian_blur,1.5,0.0
30,B,gaussian_blur,1.5,0.0
31,A,brightness_dark,1.0,0.0
31,B,brightness_dark,1.0,0.0
31,A,contrast_low,0.75,0.0
31,B,contrast_low,1.0,0.0
31,A,gaussian_noise,0.75,0.0
31,B,gaussian_noise,0.75,0.0
31,A,gaussian_blur,1.0,0.0
31,B,gaussian_blur,0.75,0.0
32,A,brightness_dark,1.0,0.0
32,B,brightness_dark,1.0,0.0
32,A,contrast_low,1.0,0.0
32,B,contrast_low,1.0,0.0
32,A,gaussian_noise,0.75,1.5
32,B,gaussian_noise,1.0,1.5
32,A,gaussian_blur,1.0,0.0
32,B,gaussian_blur,1.0,0.0
33,A,brightness_dark,1.0,0.0
33,B,brightness_dark,1.0,0.0
33,A,contrast_low,1.25,0.0
33,B,contrast_low,1.25,0.0
33,A,gaussian_noise,1.0,1.5
33,B,gaussian_noise,1.0,0.0
33,A,gaussian_blur,1.0,0.0
33,B,gaussian_blur,1.0,0.0
34,A,brightness_dark,1.0,0.0
34,B,brightness_dark,1.0,0.0
34,A,contrast_low,1.25,0.0
34,B,contrast_low,1.25,0.0
34,A,gaussian_noise,0.75,1.0
34,B,gaussian_noise,0.75,1.5
34,A,gaussian_blur,1.0,0.0
34,B,gaussian_blur,1.0,0.0
35,A,brightness_dark,1.0,0.0
35,B,brightness_dark,1.0,0.0
35,A,contrast_low,1.0,0.0
35,B,contrast_low,0.75,0.0
35,A,gaussian_noise,1.0,0.0
35,B,gaussian_noise,1.0,0.0
35,A,gaussian_blur,0.75,1.5
35,B,gaussian_blur,0.75,1.5
36,A,brightness_dark,1.0,0.0
36,B,brightness_dark,1.0,0.0
36,A,contrast_low,1.0,0.0
36,B,contrast_low,1.0,0.0
36,A,gaussian_noise,1.0,1.0
