representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
T021_H,A,gaussian_blur,T013-S2,37.63039659192088,38.305702706060586,38.85906043458926,0.7414157994339755,0.8158245092476594,0.8767963171183801
T021_H,A,gaussian_blur,T013-S3,37.68256765590523,38.302921183683864,38.85569612558731,0.7460632464957837,0.8143162701210362,0.8751341094332143
T021_H,B,clean,T013-S0,38.538741147834756,39.1743943956817,39.58002717345267,0.7133625806340264,0.816418481069938,0.8821820892967481
T021_H,B,clean,T013-S1,38.41955650798986,39.13653647532615,39.56788723486391,0.7070138022763501,0.8254278482214328,0.8966683165543398
T021_H,B,clean,T013-S2,38.500831300844396,39.16058490233683,39.588682438773674,0.7148043844730181,0.8229152240401532,0.8930656316712975
T021_H,B,clean,T013-S3,38.51131852529713,39.16391350558031,39.57598568497662,0.7058169312561915,0.8111569058779303,0.8776723928666537
T021_H,B,brightness_dark,T013-S0,33.420111013127716,34.105395893587854,34.66217706610472,0.896368402276292,0.9350646629092947,0.966504652294139
T021_H,B,brightness_dark,T013-S1,33.43341794425884,34.09858053543712,34.648256421388,0.8950883369658083,0.9325632917387549,0.963531778600439
T021_H,B,brightness_dark,T013-S2,33.42472415230132,34.108979661686476,34.63093111487109,0.8922472374206061,0.9306965548361117,0.9600257700542876
T021_H,B,brightness_dark,T013-S3,33.45293706888747,34.09862372328233,34.65845563433839,0.8972053585123293,0.9336243427058073,0.9652008192846259
T021_H,B,contrast_low,T013-S0,29.988427435634673,31.135431851671015,32.05498245624528,0.7482212207060077,0.8337588528572568,0.9023341610765054
T021_H,B,contrast_low,T013-S1,29.975730612302957,31.111978404028775,31.9469150959989,0.7582150970384092,0.8441911560323795,0.9073680148195123
T021_H,B,contrast_low,T013-S2,30.083894344015274,31.11571327440614,32.00604521489327,0.759856794360216,0.8372645580188982,0.9040578706797696
T021_H,B,contrast_low,T013-S3,30.07320964553633,31.14302113439232,32.05280641479972,0.7511717364630921,0.8305961750743588,0.898140023598946
T021_H,B,gaussian_noise,T013-S0,35.824501405185224,36.41788845018128,36.975262449642194,0.7463357679575722,0.8323649502535635,0.9131729655464964
T021_H,B,gaussian_noise,T013-S1,35.74488240832886,36.38577272182676,36.94767973189556,0.734780671111011,0.8276953611708022,0.9091592475541275
T021_H,B,gaussian_noise,T013-S2,35.73460138660781,36.37473268855274,36.99632558555314,0.7319283130333237,0.8245606099034695,0.914510246161482
T021_H,B,gaussian_noise,T013-S3,35.747545474533055,36.40456245266296,36.963395850092134,0.7336987646571416,0.828761256703786,0.9096177599097156
T021_H,B,gaussian_blur,T013-S0,37.50692104357189,38.29489285154641,38.905117647356185,0.7373648476000202,0.8253273972703159,0.8934477644817275
T021_H,B,gaussian_blur,T013-S1,37.43085779875756,38.23367740101494,38.8906697746329,0.7294069654238897,0.819092556086231,0.8924873124211539
T021_H,B,gaussian_blur,T013-S2,37.47927867656305,38.25953172053538,38.908702818625954,0.7315297452287138,0.8183045075049906,0.8905011726107745
T021_H,B,gaussian_blur,T013-S3,37.55419757979951,38.29555365788735,38.905178634085246,0.7382072874676332,0.8204718074278716,0.8881187958386808
