salt,client,half,n,normalized_entropy,max_class_fraction,represented_classes,halves_histogram_L1,halves_histogram_JS
T013-S0,81,1,8,0.16362920197946884,0.875,2,0.25,0.04540657807824092
T013-S0,82,0,82,0.2704137639926777,0.8048780487804879,3,0.19451972297500741,0.020079578200134396
T013-S0,82,1,81,0.2004960636035897,0.8641975308641975,3,0.19451972297500741,0.020079578200134396
T013-S0,83,0,255,0.28442871342476694,0.788235294117647,4,0.04696618805002323,0.003264192410136646
T013-S0,83,1,254,0.2590440929432121,0.7952755905511811,4,0.04696618805002323,0.003264192410136646
T013-S0,84,0,127,0.2754778930502056,0.7480314960629921,4,0.1417322834645669,0.004383610873526678
T013-S0,84,1,127,0.3256801433056842,0.6771653543307087,4,0.1417322834645669,0.004383610873526678
T013-S0,85,0,111,0.2815440651192268,0.6486486486486487,2,0.03603603603603606,0.00017607016919929386
T013-S0,85,1,111,0.286034682151458,0.6306306306306306,2,0.03603603603603606,0.00017607016919929386
T013-S0,86,0,20,0.389972873353915,0.6,3,0.5,0.08224105046372654
T013-S0,86,1,20,0.4121087376021907,0.45,3,0.5,0.08224105046372654
T013-S0,87,0,75,0.29454260688317746,0.76,3,0.08000000000000004,0.0015661356328195986
T013-S0,87,1,75,0.30080868539472594,0.7333333333333333,3,0.08000000000000004,0.0015661356328195986
T013-S0,88,0,39,0.5821711403394378,0.46153846153846156,5,0.3468286099865047,0.04636089460813397
T013-S0,88,1,38,0.4871246936157759,0.5,4,0.3468286099865047,0.04636089460813397
T013-S0,89,0,78,0.44410384182066875,0.6410256410256411,5,0.18914418914418923,0.013281920868932762
T013-S0,89,1,77,0.516635915477085,0.5714285714285714,5,0.18914418914418923,0.013281920868932762
T013-S0,90,0,78,0.6416640073924302,0.3974358974358974,6,0.19513819513819514,0.011002991023814523
T013-S0,90,1,77,0.6152106570778503,0.35064935064935066,5,0.19513819513819514,0.011002991023814523
T013-S0,91,0,92,0.3109379005687595,0.75,3,0.15002388915432394,0.006075320473123869
T013-S0,91,1,91,0.26523864791470114,0.8131868131868132,3,0.15002388915432394,0.006075320473123869
T013-S0,92,0,48,0.2614122594486222,0.8125,3,0.375,0.028335821339613765
T013-S0,92,1,48,0.3991921220104742,0.625,3,0.375,0.028335821339613765
T013-S0,93,0,109,0.2142053206412891,0.8623853211009175,3,0.12844036697247707,0.014522445364343384
T013-S0,93,1,109,0.18095477408863272,0.8807339449541285,3,0.12844036697247707,0.014522445364343384
T013-S0,94,0,147,0.17287036677515724,0.8775510204081632,3,0.13857049669182733,0.0069632183014137206
T013-S0,94,1,146,0.207935663743315,0.815068493150685,2,0.13857049669182733,0.0069632183014137206
T013-S0,95,0,19,0.4602152035976431,0.5789473684210527,4,0.42105263157894735,0.08114165155509045
T013-S0,95,1,19,0.5174052065643928,0.5789473684210527,5,0.42105263157894735,0.08114165155509045
T013-S0,96,0,108,0.30525148616871434,0.7777777777777778,5,0.13482173762547597,0.01673905709730872
T013-S0,96,1,107,0.38750087284965706,0.719626168224299,6,0.13482173762547597,0.01673905709730872
T013-S0,97,0,85,0.25077416291872984,0.7764705882352941,3,0.11764705882352942,0.006088608632755288
T013-S0,97,1,85,0.19429968737841416,0.8352941176470589,2,0.11764705882352942,0.006088608632755288
T013-S0,98,0,33,0.5678073065361517,0.5454545454545454,6,0.24242424242424243,0.030769917671811475
T013-S0,98,1,33,0.5430585950293889,0.5454545454545454,5,0.24242424242424243,0.030769917671811475
T013-S0,99,0,73,0.6445111457132586,0.3698630136986301,6,0.23668188736681886,0.03347268635957845
T013-S0,99,1,72,0.6389147710390489,0.4166666666666667,7,0.23668188736681886,0.03347268635957845
T013-S1,0,0,89,0.312616035749431,0.7528089887640449,4,0.17977528089887648,0.010339911236264876
T013-S1,0,1,89,0.24356981246769555,0.8314606741573034,3,0.17977528089887648,0.010339911236264876
T013-S1,1,0,50,0.2779629661090541,0.82,4,0.1967346938775511,0.015770793914075154
T013-S1,1,1,49,0.14272818443566762,0.9183673469387755,3,0.1967346938775511,0.015770793914075154
T013-S1,2,0,70,0.18225157940680592,0.8857142857142857,3,0.0,0.0
T013-S1,2,1,70,0.18225157940680592,0.8857142857142857,3,0.0,0.0
T013-S1,3,0,108,-0.0,1.0,1,0.0,0.0
T013-S1,3,1,108,-0.0,1.0,1,0.0,0.0
T013-S1,4,0,53,0.26598561463902276,0.6981132075471698,2,0.2423802612481858,0.030300139357327227
T013-S1,4,1,52,0.4061444452481587,0.5769230769230769,4,0.2423802612481858,0.030300139357327227
T013-S1,5,0,79,0.4361955258289651,0.5443037974683544,3,0.20253164556962025,0.00632284757430579
