client,bank,context,max_error,objective,iterations
33,A,brightness_dark,1.2212453270876722e-15,3.2506086342610815e-32,1
33,A,contrast_low,1.7763568394002505e-15,2.2268564981977415e-32,1
33,A,gaussian_noise,4.440892098500626e-16,7.89781740475672e-33,1
33,A,gaussian_blur,5.273559366969494e-16,1.2518544638517033e-32,1
33,B,clean,6.661338147750939e-16,3.072460114405262e-32,1
33,B,brightness_dark,1.2268615719031148e-15,5.578125064708437e-32,1
33,B,contrast_low,1.4151138217409978e-15,2.2558959106404552e-32,1
33,B,gaussian_noise,6.661338147750939e-16,2.9107120917321154e-32,1
33,B,gaussian_blur,9.358566458826827e-16,1.507040181483012e-32,1
34,A,clean,4.163336342344337e-16,2.2388935603501617e-33,1
34,A,brightness_dark,2.9976021664879227e-15,7.151519551306666e-33,1
34,A,contrast_low,9.992007221626409e-16,5.019605380836139e-32,1
34,A,gaussian_noise,6.661338147750939e-16,1.1508936050482787e-32,1
34,A,gaussian_blur,7.771561172376096e-16,2.3183381705561352e-32,1
34,B,clean,4.163336342344337e-16,2.2388935603501617e-33,1
34,B,brightness_dark,7.592166937981016e-16,4.5457965218614976e-32,1
34,B,contrast_low,1.3322676295501878e-15,2.7012672102800035e-32,1
34,B,gaussian_noise,1.4432899320127035e-15,3.6833410186405886e-33,1
34,B,gaussian_blur,1.1102230246251565e-15,2.249125063179719e-32,1
35,A,clean,2.2449612971443744e-16,3.802207007395738e-33,1
35,A,brightness_dark,8.039869717457135e-16,1.2104168773919967e-31,1
35,A,contrast_low,5.551115123125783e-16,4.922707030509156e-32,1
35,A,gaussian_noise,1.1102230246251565e-16,2.6496583063015018e-33,1
35,A,gaussian_blur,1.3417155145538748e-15,1.0865856004989736e-31,1
35,B,clean,2.2449612971443744e-16,3.802207007395738e-33,1
35,B,brightness_dark,4.440892098500626e-16,1.5479661928012408e-32,1
35,B,contrast_low,7.403579083978954e-16,5.81510472583421e-32,1
35,B,gaussian_noise,5.551115123125783e-16,1.8428742155355363e-32,1
35,B,gaussian_blur,3.3722387980360704e-16,1.927133650602478e-32,1
36,A,clean,6.181237653874711e-16,3.7964894028733387e-32,1
36,A,brightness_dark,1.4432899320127035e-15,3.1856084986380123e-32,1
36,A,contrast_low,2.0469737016526324e-15,1.7374897363910972e-31,1
36,A,gaussian_noise,5.134781488891349e-16,9.972705993280156e-33,1
36,A,gaussian_blur,6.036837696399289e-16,1.5894940572270906e-32,1
