client,bank,context,max_abs_error,L1
39,A,brightness_dark,1.2212453270876722e-15,2.4424906541753444e-15
39,A,contrast_low,0.0,0.0
39,A,gaussian_noise,4.440892098500626e-16,8.604228440844963e-16
39,A,gaussian_blur,2.6645352591003757e-15,5.411643355657248e-15
39,B,clean,6.661338147750939e-16,1.1934897514720433e-15
39,B,brightness_dark,3.3306690738754696e-16,6.106226635438361e-16
39,B,contrast_low,3.0531133177191805e-16,5.273559366969494e-16
39,B,gaussian_noise,0.0,0.0
39,B,gaussian_blur,3.3306690738754696e-16,5.655198531684391e-16
40,A,clean,7.771561172376096e-16,1.3378187446733137e-15
40,A,brightness_dark,4.996003610813204e-16,9.43689570931383e-16
40,A,contrast_low,5.551115123125783e-16,9.992007221626409e-16
40,A,gaussian_noise,4.440892098500626e-16,7.771561172376096e-16
40,A,gaussian_blur,3.3306690738754696e-16,5.551115123125783e-16
40,B,clean,7.771561172376096e-16,1.3378187446733137e-15
40,B,brightness_dark,3.3306690738754696e-16,6.4763009769800785e-16
40,B,contrast_low,8.881784197001252e-16,1.7208456881689926e-15
40,B,gaussian_noise,2.220446049250313e-16,4.440892098500626e-16
40,B,gaussian_blur,5.551115123125783e-16,1.1102230246251565e-15
41,A,clean,9.992007221626409e-16,2.886579864025407e-15
41,A,brightness_dark,1.6653345369377348e-15,5.162537064506978e-15
41,A,contrast_low,3.608224830031759e-16,1.2378986724570496e-15
41,A,gaussian_noise,1.3322676295501878e-15,2.7478019859472624e-15
41,A,gaussian_blur,5.967448757360216e-16,2.095545958979983e-15
41,B,clean,9.992007221626409e-16,2.886579864025407e-15
41,B,brightness_dark,1.4016565685892601e-15,3.6637359812630166e-15
41,B,contrast_low,2.0301221021717147e-15,4.8274876160040285e-15
41,B,gaussian_noise,7.771561172376096e-16,1.817990202823694e-15
41,B,gaussian_blur,5.551115123125783e-16,1.336232711780992e-15
42,A,clean,7.438494264988549e-16,2.0705659409259168e-15
42,A,brightness_dark,6.661338147750939e-16,1.6930901125533637e-15
42,A,contrast_low,5.440092820663267e-16,1.1851630787873547e-15
42,A,gaussian_noise,9.992007221626409e-16,3.083644450896372e-15
