client,bank,context,D_actual,p50,p90,p95,maximum,percentile,above_p95
8,B,clean,0.11465556071339873,0.17628347080213136,0.25313838756122164,0.28420877963272595,0.3142337637399038,0.109375,False
8,B,brightness_dark,0.1042767885116527,0.14019530605923886,0.23210659175506473,0.2705221307233581,0.3756428768907425,0.171875,False
8,B,contrast_low,0.13183056297058668,0.16484508185115193,0.23865470306586598,0.27773550534965913,0.4006578602668216,0.3125,False
8,B,gaussian_noise,0.11533107067610018,0.15792696851602445,0.23641215034421736,0.27087064352551166,0.33232019111225153,0.1953125,False
8,B,gaussian_blur,0.1246244304103263,0.17086484482507772,0.24889350014905667,0.26481689725395174,0.34063710587798535,0.1953125,False
9,A,clean,0.20691276419213286,0.15529548625815237,0.23121403011409283,0.25036786633708236,0.3271506457768648,0.8046875,False
9,A,brightness_dark,0.2583067606278228,0.14528249080367373,0.21982128907155796,0.2418283284690262,0.3571943713971302,0.96875,True
9,A,contrast_low,0.18634193264047094,0.1315433068739095,0.20125727707598032,0.22273382431802893,0.35341013624393397,0.8515625,False
9,A,gaussian_noise,0.1843708738125983,0.1437113437354824,0.21606401509116718,0.22946314436573786,0.26273787025819967,0.71875,False
9,A,gaussian_blur,0.1782198575963387,0.1558726693392051,0.21826846053171997,0.23671897521461605,0.2722824896001853,0.65625,False
9,B,clean,0.20691276419213286,0.14548614214551436,0.21812255532680072,0.24633819181187463,0.33466865868141255,0.8671875,False
9,B,brightness_dark,0.2607638727654317,0.141706801117669,0.2087023940594488,0.2217809006153272,0.2646003225305972,0.9921875,True
9,B,contrast_low,0.1860338623654639,0.13570910557012175,0.218911350502016,0.2388077829649776,0.33449135051329404,0.7890625,False
9,B,gaussian_noise,0.18267221539561812,0.15197971834967133,0.2120070961762693,0.22664476645996046,0.35968002143721867,0.7109375,False
9,B,gaussian_blur,0.178517113311315,0.16136935981271008,0.24021968224268925,0.2537979334013165,0.30193218062197197,0.6640625,False
10,A,clean,0.1962249976442204,0.14433541084084048,0.21960208119350982,0.24248604274428193,0.28203409857140677,0.8046875,False
10,A,brightness_dark,0.16230881054881535,0.14189772396155861,0.2172512626460096,0.25466356105343885,0.2741901837454108,0.6171875,False
10,A,contrast_low,0.151454248872441,0.14065885239267875,0.21824051122832797,0.2588460953668744,0.45458034379004236,0.609375,False
10,A,gaussian_noise,0.22468359784389527,0.1506407803689053,0.2106353000250461,0.23322268220905515,0.2814365094634576,0.9296875,False
10,A,gaussian_blur,0.205975034945689,0.14312922470553008,0.2461164684448643,0.2644352548824586,0.3709775900759439,0.796875,False
10,B,clean,0.1962249976442204,0.14779755356674806,0.23135041428531364,0.24033379969701812,0.29372457346903036,0.7890625,False
10,B,brightness_dark,0.16208142372552048,0.13524776775941316,0.20132167097584036,0.2273497338693157,0.4368371801731695,0.75,False
10,B,contrast_low,0.14089689121531465,0.14306745544228308,0.2280791567145946,0.24520951518718848,0.404127737817572,0.4921875,False
10,B,gaussian_noise,0.22469547192767914,0.13520743833417642,0.2032717812470683,0.22480419527121037,0.2649256904511688,0.9453125,False
10,B,gaussian_blur,0.20570014533864045,0.13632936918594526,0.21811615660431968,0.24009795873066467,0.31882350226565553,0.84375,False
11,A,clean,0.10813726493775405,0.16201984884381243,0.23663535870983224,0.25659807547955876,0.3276776073505603,0.171875,False
11,A,brightness_dark,0.09584992989764252,0.15265215100602167,0.22558417589383298,0.2638697932998129,0.33401681895042573,0.1171875,False
11,A,contrast_low,0.09410998775127775,0.1434823746074338,0.2366094957710508,0.25743915495328656,0.3036396991669426,0.171875,False
11,A,gaussian_noise,0.1066981751649316,0.158836344028525,0.24870483119262543,0.2739514097004498,0.33768768539670707,0.1171875,False
11,A,gaussian_blur,0.09647717857781944,0.16448623941546095,0.25185045351050783,0.2609560913961086,0.29856532631433585,0.0859375,False
11,B,clean,0.10813726493775405,0.1544372814589256,0.2339832921261898,0.27240429703165564,0.3312658471834698,0.1484375,False
11,B,brightness_dark,0.09627434612559793,0.15014219909526655,0.23016953616207303,0.25129113264470365,0.3779199488050696,0.09375,False
11,B,contrast_low,0.08703762087885436,0.1437995086413884,0.22497684774308055,0.2643381081664629,0.33998029911206484,0.125,False
11,B,gaussian_noise,0.10536152050366393,0.16351204922888052,0.24646713409321067,0.27424276113745305,0.3740738957290648,0.1484375,False
11,B,gaussian_blur,0.09492594313776302,0.15883326544274828,0.22760477244938968,0.2473561160817222,0.34691406729686236,0.0859375,False
12,A,clean,0.311297131399217,0.15300329871866497,0.23327462471838334,0.2459877914081531,0.2995129520388492,1.0,True
12,A,brightness_dark,0.2449999790885411,0.15527994373842488,0.22972884762199647,0.2703363973475125,0.3357448781297693,0.9140625,False
12,A,contrast_low,0.2460576648275263,0.14906433276753894,0.2406911025085849,0.29319271427722443,0.431579192581475,0.9140625,False
12,A,gaussian_noise,0.2804998331195355,0.15079098907533123,0.2142776736135255,0.2510735511225461,0.3129996317788123,0.984375,True
12,A,gaussian_blur,0.30514662782118157,0.14284253655796558,0.23332628083307372,0.2610701486624727,0.33410955684553667,0.9921875,True
12,B,clean,0.311297131399217,0.1550230054089393,0.2443729909985029,0.2575901812325756,0.3110152866174202,1.0,True
12,B,brightness_dark,0.24910623072664922,0.13204215474644215,0.21039132231713376,0.2276299818915654,0.4256223634093636,0.953125,True
12,B,contrast_low,0.24842055789431028,0.13627460441234868,0.20572037026021664,0.22463464332153021,0.2990564417517062,0.96875,True
